The model is (csv):
time,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v51,v79,v80,v81,v82,v83,v84,v85,v86,v87,v88,v89,v90,v91,v92,v93,v94,v95,v96,v97,v98,v99,v100,v101,v102,v103,v104,v105,v106,v107,v108,v109,v110,v111,v112,v113,v114,v115,v116,v117,v118,v119
11,2,0,0,0,4,4,0,0,0,4,4,4,1,1,0,0,0,4,4,0,0,0,4,4,4,0,2,0,0,0,4,4,0,0,0,4,4,4,1,0,0,0,0,4,4,0,0,0,4,4,0,4,0,0,0,0,4,4,0,0,0,4,4,0,4,0,0,0,0,4,4,1,0,0,4,3,0,4,0,4,0,4,0,4,4,0,4,0,4,0
12,1,0,0,0,4,4,0,0,0,4,4,4,0,0,0,0,0,4,4,0,0,0,4,4,4,0,1,0,0,0,4,4,0,0,0,4,4,4,0,0,0,0,0,4,4,0,0,0,4,4,0,4,0,0,0,0,4,4,0,0,0,4,4,0,4,0,0,0,0,4,4,0,0,0,4,4,0,4,0,4,0,4,0,4,4,0,4,0,4,0
13,0,0,0,0,4,4,0,0,0,4,4,4,0,0,0,0,0,4,4,0,0,0,4,4,4,0,0,0,0,0,4,4,0,0,0,4,4,4,0,0,0,0,0,4,4,0,0,0,4,4,0,4,0,0,0,0,4,4,0,0,0,4,4,0,4,0,0,0,0,4,4,0,0,0,4,4,0,4,0,4,0,4,0,4,4,0,4,0,4,0
14,0,0,0,0,4,4,0,0,0,4,4,4,0,0,0,0,0,4,4,0,0,0,4,4,4,0,0,0,0,0,4,4,0,0,0,4,4,4,0,0,0,0,0,4,4,0,0,0,4,4,0,4,0,0,0,0,4,4,0,0,0,4,4,0,4,0,0,0,0,4,4,0,0,0,4,4,0,4,0,4,0,4,0,4,4,0,4,0,4,0
15,0,0,0,0,4,4,0,0,0,4,4,4,0,0,0,0,0,4,4,0,0,0,4,4,4,0,0,0,0,0,4,4,0,0,0,4,4,4,0,0,0,0,0,4,4,0,0,0,4,4,0,4,0,0,0,0,4,4,0,0,0,4,4,0,4,0,0,0,0,4,4,0,0,0,4,4,0,4,0,4,0,4,0,4,4,0,4,0,4,0
16,0,0,0,0,4,4,0,0,0,4,4,4,0,0,0,0,0,4,4,0,0,0,4,4,4,0,0,0,0,0,4,4,0,0,0,4,4,4,0,0,0,0,0,4,4,0,0,0,4,4,0,4,0,0,0,0,4,4,0,0,0,4,4,0,4,0,0,0,0,4,4,0,0,0,4,4,0,4,0,4,0,4,0,4,4,0,4,0,4,0
17,0,0,0,0,4,4,0,0,0,4,4,4,0,0,0,0,0,4,4,0,0,0,4,4,4,0,0,0,0,0,4,4,0,0,0,4,4,4,0,0,0,0,0,4,4,0,0,0,4,4,0,4,0,0,0,0,4,4,0,0,0,4,4,0,4,0,0,0,0,4,4,0,0,0,4,4,0,4,0,4,0,4,0,4,4,0,4,0,4,0
18,0,0,0,0,4,4,0,0,0,4,4,4,0,0,0,0,0,4,4,0,0,0,4,4,4,0,0,0,0,0,4,4,0,0,0,4,4,4,0,0,0,0,0,4,4,0,0,0,4,4,0,4,0,0,0,0,4,4,0,0,0,4,4,0,4,0,0,0,0,4,4,0,0,0,4,4,0,4,0,4,0,4,0,4,4,0,4,0,4,0
19,0,0,0,0,4,4,0,0,0,4,4,4,0,0,0,0,0,4,4,0,0,0,4,4,4,0,0,0,0,0,4,4,0,0,0,4,4,4,0,0,0,0,0,4,4,0,0,0,4,4,0,4,0,0,0,0,4,4,0,0,0,4,4,0,4,0,0,0,0,4,4,0,0,0,4,4,0,4,0,4,0,4,0,4,4,0,4,0,4,0
20,0,0,0,0,4,4,0,0,0,4,4,4,0,0,0,0,0,4,4,0,0,0,4,4,4,0,0,0,0,0,4,4,0,0,0,4,4,4,0,0,0,0,0,4,4,0,0,0,4,4,0,4,0,0,0,0,4,4,0,0,0,4,4,0,4,0,0,0,0,4,4,0,0,0,4,4,0,4,0,4,0,4,0,4,4,0,4,0,4,0
21,0,0,0,0,4,4,0,0,0,4,4,4,0,0,0,0,0,4,4,0,0,0,4,4,4,0,0,0,0,0,4,4,0,0,0,4,4,4,0,0,0,0,0,4,4,0,0,0,4,4,0,4,0,0,0,0,4,4,0,0,0,4,4,0,4,0,0,0,0,4,4,0,0,0,4,4,0,4,0,4,0,4,0,4,4,0,4,0,4,0
22,0,0,0,0,4,4,0,0,0,4,4,4,0,0,0,0,0,4,4,0,0,0,4,4,4,0,0,0,0,0,4,4,0,0,0,4,4,4,0,0,0,0,0,4,4,0,0,0,4,4,0,4,0,0,0,0,4,4,0,0,0,4,4,0,4,0,0,0,0,4,4,0,0,0,4,4,0,4,0,4,0,4,0,4,4,0,4,0,4,0
23,0,0,0,0,4,4,0,0,0,4,4,4,0,0,0,0,0,4,4,0,0,0,4,4,4,0,0,0,0,0,4,4,0,0,0,4,4,4,0,0,0,0,0,4,4,0,0,0,4,4,0,4,0,0,0,0,4,4,0,0,0,4,4,0,4,0,0,0,0,4,4,0,0,0,4,4,0,4,0,4,0,4,0,4,4,0,4,0,4,0
24,0,0,0,0,4,4,0,0,0,4,4,4,0,0,0,0,0,4,4,0,0,0,4,4,4,0,0,0,0,0,4,4,0,0,0,4,4,4,0,0,0,0,0,4,4,0,0,0,4,4,0,4,0,0,0,0,4,4,0,0,0,4,4,0,4,0,0,0,0,4,4,0,0,0,4,4,0,4,0,4,0,4,0,4,4,0,4,0,4,0
25,0,0,0,0,4,4,0,0,0,4,4,4,0,0,0,0,0,4,4,0,0,0,4,4,4,0,0,0,0,0,4,4,0,0,0,4,4,4,0,0,0,0,0,4,4,0,0,0,4,4,0,4,0,0,0,0,4,4,0,0,0,4,4,0,4,0,0,0,0,4,4,0,0,0,4,4,0,4,0,4,0,4,0,4,4,0,4,0,4,0
26,0,0,0,0,4,4,0,0,0,4,4,4,0,0,0,0,0,4,4,0,0,0,4,4,4,0,0,0,0,0,4,4,0,0,0,4,4,4,0,0,0,0,0,4,4,0,0,0,4,4,0,4,0,0,0,0,4,4,0,0,0,4,4,0,4,0,0,0,0,4,4,0,0,0,4,4,0,4,0,4,0,4,0,4,4,0,4,0,4,0
27,0,0,0,0,4,4,0,0,0,4,4,4,0,0,0,0,0,4,4,0,0,0,4,4,4,0,0,0,0,0,4,4,0,0,0,4,4,4,0,0,0,0,0,4,4,0,0,0,4,4,0,4,0,0,0,0,4,4,0,0,0,4,4,0,4,0,0,0,0,4,4,0,0,0,4,4,0,4,0,4,0,4,0,4,4,0,4,0,4,0
28,0,0,0,0,4,4,0,0,0,4,4,4,0,0,0,0,0,4,4,0,0,0,4,4,4,0,0,0,0,0,4,4,0,0,0,4,4,4,0,0,0,0,0,4,4,0,0,0,4,4,0,4,0,0,0,0,4,4,0,0,0,4,4,0,4,0,0,0,0,4,4,0,0,0,4,4,0,4,0,4,0,4,0,4,4,0,4,0,4,0
29,0,0,0,0,4,4,0,0,0,4,4,4,0,0,0,0,0,4,4,0,0,0,4,4,4,0,0,0,0,0,4,4,0,0,0,4,4,4,0,0,0,0,0,4,4,0,0,0,4,4,0,4,0,0,0,0,4,4,0,0,0,4,4,0,4,0,0,0,0,4,4,0,0,0,4,4,0,4,0,4,0,4,0,4,4,0,4,0,4,0
30,0,0,0,0,4,4,0,0,0,4,4,4,0,0,0,0,0,4,4,0,0,0,4,4,4,0,0,0,0,0,4,4,0,0,0,4,4,4,0,0,0,0,0,4,4,0,0,0,4,4,0,4,0,0,0,0,4,4,0,0,0,4,4,0,4,0,0,0,0,4,4,0,0,0,4,4,0,4,0,4,0,4,0,4,4,0,4,0,4,0
31,0,0,0,0,4,4,0,0,0,4,4,4,0,0,0,0,0,4,4,0,0,0,4,4,4,0,0,0,0,0,4,4,0,0,0,4,4,4,0,0,0,0,0,4,4,0,0,0,4,4,0,4,0,0,0,0,4,4,0,0,0,4,4,0,4,0,0,0,0,4,4,0,0,0,4,4,0,4,0,4,0,4,0,4,4,0,4,0,4,0
32,0,0,0,0,4,4,0,0,0,4,4,4,0,0,0,0,0,4,4,0,0,0,4,4,4,0,0,0,0,0,4,4,0,0,0,4,4,4,0,0,0,0,0,4,4,0,0,0,4,4,0,4,0,0,0,0,4,4,0,0,0,4,4,0,4,0,0,0,0,4,4,0,0,0,4,4,0,4,0,4,0,4,0,4,4,0,4,0,4,0
33,0,0,0,0,4,4,0,0,0,4,4,4,0,0,0,0,0,4,4,0,0,0,4,4,4,0,0,0,0,0,4,4,0,0,0,4,4,4,0,0,0,0,0,4,4,0,0,0,4,4,0,4,0,0,0,0,4,4,0,0,0,4,4,0,4,0,0,0,0,4,4,0,0,0,4,4,0,4,0,4,0,4,0,4,4,0,4,0,4,0
34,0,0,0,0,4,4,0,0,0,4,4,4,0,0,0,0,0,4,4,0,0,0,4,4,4,0,0,0,0,0,4,4,0,0,0,4,4,4,0,0,0,0,0,4,4,0,0,0,4,4,0,4,0,0,0,0,4,4,0,0,0,4,4,0,4,0,0,0,0,4,4,0,0,0,4,4,0,4,0,4,0,4,0,4,4,0,4,0,4,0
35,0,0,0,0,4,4,0,0,0,4,4,4,0,0,0,0,0,4,4,0,0,0,4,4,4,0,0,0,0,0,4,4,0,0,0,4,4,4,0,0,0,0,0,4,4,0,0,0,4,4,0,4,0,0,0,0,4,4,0,0,0,4,4,0,4,0,0,0,0,4,4,0,0,0,4,4,0,4,0,4,0,4,0,4,4,0,4,0,4,0
36,0,0,0,0,4,4,0,0,0,4,4,4,0,0,0,0,0,4,4,0,0,0,4,4,4,0,0,0,0,0,4,4,0,0,0,4,4,4,0,0,0,0,0,4,4,0,0,0,4,4,0,4,0,0,0,0,4,4,0,0,0,4,4,0,4,0,0,0,0,4,4,0,0,0,4,4,0,4,0,4,0,4,0,4,4,0,4,0,4,0
37,0,0,0,0,4,4,0,0,0,4,4,4,0,0,0,0,0,4,4,0,0,0,4,4,4,0,0,0,0,0,4,4,0,0,0,4,4,4,0,0,0,0,0,4,4,0,0,0,4,4,0,4,0,0,0,0,4,4,0,0,0,4,4,0,4,0,0,0,0,4,4,0,0,0,4,4,0,4,0,4,0,4,0,4,4,0,4,0,4,0
38,0,0,0,0,4,4,0,0,0,4,4,4,0,0,0,0,0,4,4,0,0,0,4,4,4,0,0,0,0,0,4,4,0,0,0,4,4,4,0,0,0,0,0,4,4,0,0,0,4,4,0,4,0,0,0,0,4,4,0,0,0,4,4,0,4,0,0,0,0,4,4,0,0,0,4,4,0,4,0,4,0,4,0,4,4,0,4,0,4,0
39,0,0,0,0,4,4,0,0,0,4,4,4,0,0,0,0,0,4,4,0,0,0,4,4,4,0,0,0,0,0,4,4,0,0,0,4,4,4,0,0,0,0,0,4,4,0,0,0,4,4,0,4,0,0,0,0,4,4,0,0,0,4,4,0,4,0,0,0,0,4,4,0,0,0,4,4,0,4,0,4,0,4,0,4,4,0,4,0,4,0
40,0,0,0,0,4,4,0,0,0,4,4,4,0,0,0,0,0,4,4,0,0,0,4,4,4,0,0,0,0,0,4,4,0,0,0,4,4,4,0,0,0,0,0,4,4,0,0,0,4,4,0,4,0,0,0,0,4,4,0,0,0,4,4,0,4,0,0,0,0,4,4,0,0,0,4,4,0,4,0,4,0,4,0,4,4,0,4,0,4,0
41,0,0,0,0,4,4,0,0,0,4,4,4,0,0,0,0,0,4,4,0,0,0,4,4,4,0,0,0,0,0,4,4,0,0,0,4,4,4,0,0,0,0,0,4,4,0,0,0,4,4,0,4,0,0,0,0,4,4,0,0,0,4,4,0,4,0,0,0,0,4,4,0,0,0,4,4,0,4,0,4,0,4,0,4,4,0,4,0,4,0
42,0,0,0,0,4,4,0,0,0,4,4,4,0,0,0,0,0,4,4,0,0,0,4,4,4,0,0,0,0,0,4,4,0,0,0,4,4,4,0,0,0,0,0,4,4,0,0,0,4,4,0,4,0,0,0,0,4,4,0,0,0,4,4,0,4,0,0,0,0,4,4,0,0,0,4,4,0,4,0,4,0,4,0,4,4,0,4,0,4,0
43,0,0,0,0,4,4,0,0,0,4,4,4,0,0,0,0,0,4,4,0,0,0,4,4,4,0,0,0,0,0,4,4,0,0,0,4,4,4,0,0,0,0,0,4,4,0,0,0,4,4,0,4,0,0,0,0,4,4,0,0,0,4,4,0,4,0,0,0,0,4,4,0,0,0,4,4,0,4,0,4,0,4,0,4,4,0,4,0,4,0
44,0,0,0,0,4,4,0,0,0,4,4,4,0,0,0,0,0,4,4,0,0,0,4,4,4,0,0,0,0,0,4,4,0,0,0,4,4,4,0,0,0,0,0,4,4,0,0,0,4,4,0,4,0,0,0,0,4,4,0,0,0,4,4,0,4,0,0,0,0,4,4,0,0,0,4,4,0,4,0,4,0,4,0,4,4,0,4,0,4,0
45,0,0,0,0,4,4,0,0,0,4,4,4,0,0,0,0,0,4,4,0,0,0,4,4,4,0,0,0,0,0,4,4,0,0,0,4,4,4,0,0,0,0,0,4,4,0,0,0,4,4,0,4,0,0,0,0,4,4,0,0,0,4,4,0,4,0,0,0,0,4,4,0,0,0,4,4,0,4,0,4,0,4,0,4,4,0,4,0,4,0
46,0,0,0,0,4,4,0,0,0,4,4,4,0,0,0,0,0,4,4,0,0,0,4,4,4,0,0,0,0,0,4,4,0,0,0,4,4,4,0,0,0,0,0,4,4,0,0,0,4,4,0,4,0,0,0,0,4,4,0,0,0,4,4,0,4,0,0,0,0,4,4,0,0,0,4,4,0,4,0,4,0,4,0,4,4,0,4,0,4,0
47,0,0,0,0,4,4,0,0,0,4,4,4,0,0,0,0,0,4,4,0,0,0,4,4,4,0,0,0,0,0,4,4,0,0,0,4,4,4,0,0,0,0,0,4,4,0,0,0,4,4,0,4,0,0,0,0,4,4,0,0,0,4,4,0,4,0,0,0,0,4,4,0,0,0,4,4,0,4,0,4,0,4,0,4,4,0,4,0,4,0
48,0,0,0,0,4,4,0,0,0,4,4,4,0,0,0,0,0,4,4,0,0,0,4,4,4,0,0,0,0,0,4,4,0,0,0,4,4,4,0,0,0,0,0,4,4,0,0,0,4,4,0,4,0,0,0,0,4,4,0,0,0,4,4,0,4,0,0,0,0,4,4,0,0,0,4,4,0,4,0,4,0,4,0,4,4,0,4,0,4,0,<---
49,0,0,0,0,4,4,0,0,0,4,4,4,0,0,0,0,0,4,4,0,0,0,4,4,4,0,0,0,0,0,4,4,0,0,0,4,4,4,0,0,0,0,0,4,4,0,0,0,4,4,0,4,0,0,0,0,4,4,0,0,0,4,4,0,4,0,0,0,0,4,4,0,0,0,4,4,0,4,0,4,0,4,0,4,4,0,4,0,4,0
Time: 00:05:00.7045290
